Platform,Nodes,Edges,Diameter,Method,Component_Size,Component_Percent,Time_seconds
Dub,1161,1383,0,aproximado,1,0.08613264427217916,0.005858421325683594
Elm,1474,3781,0,aproximado,1,0.06784260515603799,0.007235288619995117
Homebrew,2126,4189,0,aproximado,1,0.047036688617121354,0.008031606674194336
Atom,7243,17128,0,aproximado,1,0.013806433798149937,0.036045074462890625
Conda,1270,2866,0,aproximado,1,0.07874015748031496,0.005711078643798828
Haxelib,638,880,1,aproximado,2,0.3134796238244514,0.0029294490814208984
Puppet,4716,9623,1,aproximado,2,0.04240882103477523,0.02137279510498047
Hex,5706,11201,2,aproximado,4,0.07010164738871363,0.029289960861206055
Pypi,46668,126759,3,aproximado,4,0.008571183680466271,0.2824287414550781
NuGet,150103,412687,5,aproximado,7,0.004663464421097513,0.886786937713623
Pub,8667,28851,8,aproximado,62,0.7153571016499365,0.07139754295349121
CPAN,32975,282246,12,aproximado,420,1.2736921910538288,1.0554487705230713
Packagist,186519,705462,14,aproximado,445,0.2385815922238485,1.5195105075836182
CRAN,15413,102241,17,aproximado,882,5.72244209433595,0.8608052730560303
Rubygems,128010,578076,17,aproximado,241,0.18826654167643153,6.20343279838562
Cargo,24305,115856,18,aproximado,164,0.6747582801892615,0.24546170234680176
Maven,122532,540840,24,aproximado,272,0.2219828289752881,0.9415655136108398
NPM,1036048,11134428,25,aproximado,13026,1.2572776550893394,33.05174279212952
Geral,1758429,14078099,32,aproximado,18413,1.0471278624272007,45.0534234046936
